RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,17.4,940.27,2.09
2.0,70.08,2910.65,8.41
3.0,95.69,2685.67,10.98
4.0,89.26,2619.38,8.26
5.0,81.04,1976.17,7.75
6.0,36.33,523.03,1.43
99.0,1916.07,1219.97,0.39
