month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
6-2018,9.88,8.5,0.58,6,542.5,11.958696794534944
7-2018,41.876666666666665,28.166666666666668,7.41,12,17924.0,3.5178378127140255
3-2020,8.413333333333334,6.916666666666667,0.6966666666666667,6,12602.833333333334,7.99062893035862
3-2018,15.88626727640907,12.586230338164361,1.84054795321285,15008763,999.6221297675014,11.389819969336719
9-2018,9.05,7.5,0.75,9,8959.0,5.167814930625114
11-2018,8.31,6.5,0.51,6,429.5,7.643777782741752
10-2018,37.943333333333335,30.166666666666668,3.1366666666666667,13,17605.333333333332,6.106769011620243
12-2018,9.64,7.0,1.3399999999999999,11,423.6666666666667,15.588703402412511
8-2018,25.56,20.5,4.26,3,1008.0,22.57142857142857
9-2019,10.652000000000001,9.0,0.852,5,3192.4,6.357664213977662
5-2018,11.313333333333333,9.88888888888889,0.5133333333333333,31,6262.888888888889,8.559273444990568
2-2018,15.072336633663218,11.922277227722772,1.7750099009900966,2544,1742.4138613861387,12.29450107945344
4-2018,15.219999999999992,12.295774647887324,1.65943661971831,143,1936.887323943662,13.461827126576534
