month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
6-2018,15.281347962382503,12.360501567398119,1.535172413793103,619.0,7811.141065830721,12.637275329445787
7-2018,16.423774234975912,13.124815556782647,1.8145325568891553,12520404.0,1051.9586676254557,11.638125366615366
1-2019,18.23727272727273,13.545454545454545,2.5045454545454544,52.0,5424.909090909091,11.250854470893334
11-2018,27.088,20.4,3.184,21.0,6359.8,11.423180727506622
9-2018,12.27777777777778,9.694444444444445,1.338888888888889,25.0,9486.333333333334,7.632060551746672
2-2019,19.596249999999998,14.75,2.57625,35.0,3996.75,9.0752575106496
10-2018,18.499333333333336,13.966666666666667,2.4473333333333334,74.0,3885.9333333333334,12.696715011809662
12-2018,24.570000000000004,19.0,3.4471428571428566,25.0,4812.142857142857,11.106601216814193
8-2018,17.547837837837825,13.77027027027027,2.14918918918919,120.0,2510.0810810810813,13.559107908969356
3-2019,16.48,13.25,1.93,10.0,916.0,13.059395321075803
