month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
5-2021,10.71,6.25,1.16,2.0,368.5,10.341176470588234
6-2021,31.4,24.0,4.1,1.0,1854.0,11.359223300970873
11-2020,18.32,12.25,1.752857142857143,19.0,6494.571428571428,17.67141736421411
4-2021,18.113333333333333,14.0,0.8133333333333334,3.0,9229.666666666666,10.164347915540281
1-2021,11.765,9.125,0.615,6.0,451.75,11.61406322542523
12-2020,16.26840308983392,10.822079193793963,1.936418637384105,1913949.0,870.8906061779304,11.89744718350045
2-2021,13.895,8.25,1.845,4.0,6870.5,7.703124345839609
