month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,15.499193875822419,12.236785420557128,1.8181234773200214,11934629.0,995.1483498338554,11.693449688246705
4-2019,16.253333333333334,13.833333333333334,1.0366666666666666,6.0,5189.166666666667,8.75750633713976
5-2019,26.16,20.5,4.36,1.0,1363.0,14.89655172413793
2-2019,16.223142857142854,12.3,2.229714285714286,114.0,1825.6285714285714,12.565883371729575
8-2019,22.8,21.5,0.0,2.0,1515.0,12.760396039603961
12-2018,17.293735632183967,14.313218390804598,1.5349999999999995,692.0,13711.28735632184,12.088525037312774
3-2019,11.1,8.0,1.5000000000000002,5.0,5654.8,5.735783654675115
7-2019,10.743333333333334,8.25,1.1933333333333334,6.0,517.6666666666666,12.846132331517696
9-2019,6.8,4.5,1.0,1.0,195.0,11.815384615384616
6-2019,13.420000000000002,10.5,1.62,2.0,789.0,10.217418032786885
