month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
7-2021,25.56743589743589,17.153846153846153,3.5661538461538456,54.0,5421.5641025641025,13.237134010042427
9-2021,11.633333333333335,7.833333333333333,0.5,3.0,8945.333333333334,4.782666519333422
5-2021,30.62357142857143,20.571428571428573,4.6746428571428575,47.0,3830.6428571428573,22.47013545735447
11-2021,13.964000000000002,9.8,1.364,6.0,5003.4,9.528672709139858
6-2021,18.754526411217167,12.60225622102323,2.328556591074483,3856239.0,991.0336723413828,12.066737090652044
12-2021,24.082,16.5,4.282,5.0,6023.0,7.285874769852749
10-2021,17.866666666666667,12.333333333333334,2.2333333333333334,3.0,9230.333333333334,6.710374089609226
8-2021,16.528,11.3,1.9280000000000002,5.0,10911.6,8.089184638217095
