month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,15.385588235294122,11.338235294117647,2.253823529411765,75.0,1500.2941176470588,10.766876449902796
11-2018,18.682630890052277,14.888376963350787,2.1805759162303655,1211.0,5515.657068062827,12.451278115904385
5-2019,76.13,52.0,17.57,5.0,1758.0,35.85665529010239
2-2019,15.628333333333332,12.916666666666666,1.0866666666666667,11.0,14142.166666666666,6.010654938627664
12-2018,16.356276769111595,13.038593238016471,1.8531198273372893,12952953.0,1131.9377593043541,10.9675175936818
3-2019,37.265,34.25,1.965,14.0,15264.0,13.096874257925666
12-2020,15.58,13.25,1.03,2.0,876.0,15.07203254036731
6-2019,12.786000000000003,10.733333333333333,0.486,15.0,743.0666666666667,10.048333716459663
