month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,9.96,4.0,1.66,1.0,119.0,18.453781512605044
4-2019,20.619661835748822,14.079710144927537,2.586908212560386,350.0,2453.3429951690823,15.111387853044674
5-2019,19.419208988601174,13.32679699853244,2.2499884624607627,11790298.0,1115.978861741804,11.164177948376619
8-2019,21.424,14.6,2.9,10.0,29672.2,3.831770479116146
10-2019,15.508,9.7,2.1079999999999997,5.0,10208.8,3.104094793593574
1-2020,9.75,6.0,1.95,1.0,325.0,11.409230769230769
7-2019,29.782500000000002,19.6875,4.1875,22.0,7796.5,8.811793809520506
12-2019,27.505000000000003,18.0,5.205,2.0,14070.5,4.126137713427556
9-2019,10.26,5.25,1.71,2.0,12941.0,5.395498572908811
6-2019,18.389999999999983,12.346534653465346,2.1842574257425746,143.0,4361.237623762377,10.494319054675428
