month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2020,14.9,10.7,1.2,11.0,6819.6,6.337043003630639
7-2020,12.649999999999999,6.5,1.8499999999999999,6.0,439.3333333333333,9.800793846471729
4-2020,10.56,5.5,1.76,1.0,396.0,4.181818181818182
1-2020,18.300693887755763,12.316540519415913,2.200813761796102,9515706.0,953.0441316969383,11.802769805858564
5-2020,18.220000000000002,12.0,2.9200000000000004,5.0,11106.0,4.499158769305334
12-2019,18.11937499999999,12.76171875,1.8644531249999996,286.0,13758.0625,11.338471664073518
1-2021,15.920000000000002,10.666666666666666,0.9533333333333333,3.0,849.6666666666666,8.149011758227864
2-2020,22.43172413793103,15.861724137931034,2.4237931034482756,44.0,784.1724137931035,13.089865627556039
6-2020,25.3,22.0,0.0,1.0,2069.0,6.855485741904301
