month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
7-2018,17.378350000000015,13.6925,1.9213499999999997,351.0,4070.595,15.170468913946712
1-2019,12.44,9.7,1.7449999999999999,10.0,5765.6,7.240801976608748
4-2019,11.24,8.125,1.315,8.0,6879.75,6.981269163029024
9-2018,19.108899999999984,15.11,2.2963,185.0,3162.13,14.329625130999595
11-2018,10.966666666666667,8.75,0.9583333333333334,23.0,4824.0,9.500963705714156
5-2019,10.775,8.5,0.975,4.0,605.5,10.688292394199467
2-2019,10.8,9.0,0.0,1.0,611.0,9.72176759410802
10-2018,14.185714285714292,11.464285714285714,1.405357142857143,64.0,5993.0,8.307318505442577
12-2018,19.42111111111111,15.833333333333334,2.147777777777778,9.0,6768.666666666667,7.655629716211414
8-2018,16.517665491011947,13.197689208134003,1.8111876194029357,12491745.0,1049.518835746161,11.632195835427543
3-2019,45.215,30.25,7.404999999999999,4.0,28817.5,1.1655133280014685
