month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2018,11.05,9.5,0.75,2,829.0,5.4411121903836825
9-2017,16.91199288256232,13.523131672597865,1.9507117437722419,589,5293.491103202847,11.995531953544608
10-2017,16.61236487910736,13.25985967495781,1.8763691073260396,15700660,1043.890595505159,10.98318392925557
11-2017,15.720666666666661,12.775,1.4536666666666667,115,826.5666666666667,12.833731120031647
5-2018,10.355,8.375,1.055,4,575.75,10.822262554542167
12-2017,44.084999999999994,34.75,5.655,2,14322.5,11.443731939182909
2-2018,24.055,19.25,4.005,4,15010.5,4.217453526820689
4-2018,10.222222222222221,8.333333333333334,1.088888888888889,9,3398.1111111111113,7.778737628688118
