month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,17.159374999999986,11.484375,2.101666666666667,148.0,4794.0625,8.254960822333791
10-2019,19.48293865258321,13.354358638754679,2.285903932331353,10932050.0,1109.3231392606713,10.81303824234878
1-2020,18.523181818181822,11.977272727272727,2.655,23.0,7778.863636363636,6.49034169380729
12-2019,20.352926829268288,14.390243902439025,2.047073170731708,56.0,7069.512195121952,7.458816660849997
9-2019,22.016896551724113,16.189655172413794,2.2606896551724143,151.0,3672.9310344827586,16.993974355192268
2-2020,24.545,17.6875,3.1825,9.0,1085.625,17.788551269569332
