month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,15.091999999999999,13.1,0.692,25.0,714.2,15.318097077423397
1-2019,14.712499999999999,11.75,1.6625,4.0,7296.5,4.505269189278078
11-2018,16.703501312865807,13.30743634930928,1.9204179308341474,12755910.0,1151.393709923324,10.744729231767254
10-2018,16.96802238805975,13.671641791044776,1.7630970149253735,499.0,7662.705223880597,11.70158531634269
12-2018,15.913258426966282,12.46629213483146,2.02876404494382,182.0,829.943820224719,12.078061469909665
