month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2020,18.256013690059547,12.396744159669206,2.155637893526888,4316381.0,931.0556254749362,12.107936325609197
8-2020,17.76,11.0,2.9599999999999995,3.0,779.6666666666666,10.83082497212932
7-2020,16.560000000000002,10.0,2.76,7.0,623.0,13.974549189682719
4-2020,14.871666666666664,9.458333333333334,1.9466666666666663,24.0,14035.083333333334,8.479622490986275
1-2020,17.80417910447761,11.41044776119403,2.4110447761194043,67.0,833.4477611940298,9.828412028802651
5-2020,15.144,8.8,2.644,13.0,554.0,12.670499638231407
2-2020,17.500695364238453,11.521523178807946,2.1687748344370874,542.0,3738.764900662252,12.077427984803094
6-2020,14.952666666666671,9.833333333333334,1.6193333333333333,37.0,2392.6,9.030451467453883
