month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,19.12501160879272,13.07612637014159,2.2564023840922065,10436281.0,1100.2151354292496,10.878496593889928
3-2020,21.275,15.35,2.375,10.0,8483.1,8.341228237595459
4-2020,17.323333333333338,12.555555555555555,1.4677777777777778,9.0,6572.555555555556,6.411953282486914
10-2019,19.16133704735382,12.926183844011142,2.3127576601671316,681.0,5417.108635097493,11.060535424121888
1-2020,19.402153846153833,13.153846153846153,2.4446153846153846,84.0,6753.123076923077,8.120279527796919
5-2020,18.42833333333333,14.0,1.3783333333333332,6.0,5370.333333333333,6.113174863347699
12-2019,18.49659259259259,12.27037037037037,2.4745185185185194,190.0,5638.385185185185,7.632360812912231
2-2020,19.26409090909091,12.659090909090908,2.873181818181818,33.0,8387.181818181818,6.641255030274615
6-2020,35.602,29.3,2.5780000000000003,8.0,12305.8,10.215287341347608
