month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
6-2018,17.130000000000003,13.384615384615385,2.002307692307692,13,4722.384615384615,11.1894652930321
7-2018,16.241111111111113,11.944444444444445,2.356666666666667,9,3507.4444444444443,12.251744693467385
3-2018,15.935754189944182,12.78072625698324,1.7345810055865916,867,4691.54748603352,13.332050553631522
9-2018,12.96,9.0,2.16,1,733.0,7.465211459754435
8-2018,15.479999999999999,12.5,2.18,3,841.6666666666666,12.775423362676776
5-2018,17.884666666666657,14.233333333333333,2.1474999999999995,101,2417.65,14.673972842132464
4-2018,16.22381190841952,12.873584910479453,1.870976914799174,14805066,1028.6381439674049,11.270912401125067
