month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
9-2023,12.96,5.8,2.16,1,213.0,7.605633802816902
7-2023,22.41375,12.975000000000001,4.00125,8,7006.125,7.175621944755445
8-2023,25.68,16.65,4.029999999999999,2,904.5,12.752077918368514
6-2023,35.84478260869565,25.426086956521747,4.242608695652174,25,4512.521739130435,12.147531143434131
4-2023,41.575,29.487499999999997,5.331250000000001,17,1010.375,21.177239105409203
5-2023,28.84119074010193,19.696399613643635,3.619084039163974,4578778,1085.5870949882783,11.218070596435124
