month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,17.12578073089706,13.609634551495017,2.014019933554817,566.0,5686.598006644518,13.311789517181786
4-2019,13.343666666666671,8.6,1.5103333333333333,136.0,3970.6,8.2665266576307
5-2019,16.475277777777777,11.069444444444445,2.1058333333333334,207.0,5615.805555555556,8.84570749383088
2-2019,18.487787840866268,12.671759202260567,2.158267467469023,10956478.0,1038.4750272003023,11.359567348237231
8-2019,32.67,22.4,5.118,16.0,1253.0,13.685893192753031
3-2019,18.96854838709677,13.21774193548387,2.2316129032258076,472.0,4649.306451612903,11.5900083576773
7-2019,22.937,15.6,2.535,18.0,6047.9,10.24436554639912
9-2019,22.25,16.5,4.45,1.0,885.0,19.76949152542373
6-2019,16.829615384615387,11.564615384615385,1.4742307692307692,123.0,3653.653846153846,9.766004284062346
