month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
9-2023,18.961666666666666,12.450000000000001,2.5116666666666667,17,9170.166666666666,5.554492788235273
10-2023,17.43,11.4,2.03,5,11409.5,8.225200297091643
7-2023,28.459610212658507,19.52784862814897,3.4627677585772227,3902336,1027.9498545019906,11.88745235757882
8-2023,17.203333333333337,11.166666666666666,1.5366666666666668,16,4788.5,7.570559330819183
6-2023,24.502926829268294,15.436585365853666,3.3175609756097555,63,2798.8536585365855,12.56834594095039
