month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,15.712499999999999,12.75,2.1625,4.0,13781.25,2.642468476106823
9-2018,20.764841269841263,16.353174603174605,2.367063492063492,256.0,3422.9841269841268,17.903959933777102
11-2018,16.3071794871795,13.419871794871796,1.688589743589743,251.0,2664.5448717948716,10.28031276571186
2-2019,10.3,9.5,0.0,1.0,29619.0,0.1689456092373139
8-2020,37.135,28.25,5.205,2.0,1187.5,24.295020758714386
10-2018,16.834787119980994,13.387143166892123,1.9377050634612565,13751890.0,1121.396124355202,10.814440484610042
12-2018,13.003333333333332,10.5,1.2033333333333334,6.0,767.3333333333334,9.211373109649614
3-2019,15.653333333333334,13.666666666666666,1.1866666666666668,3.0,9543.333333333334,4.8272466305568615
1-2018,19.56,15.5,3.26,1.0,57139.0,0.14238961129876265
