month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
7-2021,31.02,16.0,5.17,1.0,1011.0,16.023738872403563
5-2021,26.540833333333335,17.125,4.009583333333333,29.0,1960.1666666666667,17.320145445305766
6-2021,17.163333333333334,12.166666666666666,1.6966666666666665,3.0,9251.333333333334,8.524192404801557
4-2021,17.605924509997088,11.802433043534448,2.1352277103734525,2839580.0,891.8641619229594,12.363534267286935
3-2021,20.71,14.61111111111111,2.2988888888888885,13.0,664.7777777777778,22.6439661867557
