month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,18.550769230769234,15.153846153846153,2.4815384615384612,13.0,10983.76923076923,6.009125155612488
4-2019,5.8,4.0,0.0,1.0,218.0,5.614678899082569
9-2018,16.73101013208291,13.345879284339755,1.9010423265274288,12687036.0,1102.1620610969364,11.12860331533183
11-2018,20.56733333333333,16.466666666666665,2.583333333333334,30.0,5236.966666666666,8.706667748432615
5-2019,14.653333333333334,11.0,1.8533333333333335,3.0,9289.0,5.892837074443908
2-2019,9.877142857142857,7.928571428571429,1.1485714285714288,7.0,4726.714285714285,5.47732709681614
10-2018,20.49776315789472,15.989868421052632,2.5132894736842104,95.0,4412.75,13.642896803830748
12-2018,22.591578947368426,17.973684210526315,2.869473684210527,19.0,6363.210526315789,9.376736586705254
8-2018,17.254655870445387,13.692307692307692,1.9946558704453434,487.0,4470.927125506073,13.66520564775308
3-2019,33.348,26.3,5.095999999999999,5.0,13454.2,10.307652136659494
