month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,18.780437500000023,12.90625,1.9791874999999997,281.0,2854.8125,13.33998968999201
3-2020,19.187777777777782,14.092592592592593,1.4388888888888889,37.0,9206.185185185184,6.82703243589757
7-2020,6.3,5.0,0.0,1.0,248.0,10.306451612903226
4-2020,18.300588235294118,12.735294117647058,2.2358823529411764,17.0,11231.235294117647,7.104365318561795
1-2020,17.069218749999987,11.453125,1.7498437500000004,95.0,4796.375,8.374310110654886
5-2020,14.709,10.1,1.9689999999999999,10.0,6063.3,4.8161271861060415
12-2019,19.282813964156695,13.220488584711058,2.250115477969949,10517343.0,1113.0440929295376,10.966840494057958
2-2020,21.335882352941177,15.205882352941176,2.098823529411764,39.0,10016.20588235294,5.060618815469463
6-2020,15.030000000000001,9.75,1.9799999999999998,6.0,9110.5,5.2667716485211935
