month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2018,20.23,17.5,1.43,2,15410.5,9.352748786811143
1-2018,16.064583333333335,13.020833333333334,1.7437500000000004,37,1830.6666666666667,13.745437651407949
11-2017,17.74836206896555,13.991379310344827,2.242155172413793,525,3373.206896551724,13.239798902446605
12-2017,16.111681323115253,12.869350621066591,1.8067410168301314,15427580,1051.1618610660976,10.951149080840928
2-2018,14.46,10.75,2.41,2,43087.0,3.172191653016776
