month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
2-2022,23.525714285714287,16.928571428571427,1.897142857142857,21.0,897.5714285714286,17.88637745548349
4-2022,12.8,8.5,1.0,2.0,554.0,10.851985559566787
1-2022,18.906715962842764,12.671758651044701,2.3678437817432014,3287530.0,851.594117373197,12.942652688880711
3-2022,14.595,9.25,1.92,11.0,6909.75,9.137003787392048
5-2022,12.38,6.5,1.58,8.0,343.5,14.788068355202931
12-2021,18.747826086956525,12.695652173913043,2.632608695652174,60.0,675.7826086956521,15.834922220917994
