month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,23.095,17.0,2.6283333333333334,6.0,9520.833333333334,7.10285184127241
8-2019,26.7386111111111,19.47222222222222,3.9352777777777774,69.0,6770.888888888889,12.75347150786986
10-2019,21.630000000000003,16.0,1.83,3.0,11962.5,5.117615029942906
1-2020,27.21,20.25,3.66,2.0,18659.0,2.459959627601626
7-2019,19.328978397684235,13.314960867105926,2.1873989711085806,9772585.0,1097.9268448381672,11.572228277765497
12-2019,13.56,8.0,2.26,1.0,658.0,4.212765957446808
9-2019,23.96,17.045454545454547,2.7054545454545456,12.0,6673.0,10.532991196955253
6-2019,21.124497041420156,15.251479289940828,2.245562130177515,296.0,5329.6863905325445,13.621490701266422
