start_zone,vendor_id,trip_time
107,HV0003,1110.7656905788185
143,HV0003,1138.640513082961
119,HV0003,981.0125391358838
68,HV0003,1247.6080532533576
149,HV0003,981.2296964636421
115,HV0003,941.7976743314068
111,HV0003,1143.3312034694802
138,HV0003,1886.2192648593923
120,HV0003,1020.8508829311155
253,HV0003,1328.2162121710396
164,HV0003,1220.189342181239
25,HV0003,1228.3705500521082
13,HV0003,1227.413576861737
165,HV0003,1094.679993380921
239,HV0003,1183.77035976341
88,HV0003,1356.9970776142818
98,HV0003,1043.0777520419674
173,HV0003,960.9994272868586
22,HV0003,1030.1702082099034
71,HV0003,1089.6018184350912
188,HV0003,1164.1783777901487
141,HV0003,1166.2356735561273
225,HV0003,1202.8819779979638
185,HV0003,1010.3283159439725
197,HV0003,966.8902767306222
44,HV0003,1101.3349995646104
256,HV0003,1171.044563599719
26,HV0003,1025.8115538369507
118,HV0003,1075.8802890495688
245,HV0003,969.182195899083
182,HV0003,1024.1571491158577
135,HV0003,1067.124977477434
108,HV0003,995.7682309869878
187,HV0003,916.3874957231507
126,HV0003,1019.0761167098437
73,HV0003,990.7483569116147
114,HV0003,1097.5613323035136
183,HV0003,953.1489000867113
190,HV0003,1226.8652559310888
128,HV0003,1062.5713995559606
178,HV0003,990.2418323680519
242,HV0003,988.6147131107566
206,HV0003,967.503035206493
258,HV0003,1091.496109885818
56,HV0003,996.440583692356
224,HV0003,1084.090509544984
265,HV0003,1154.9025530033166
251,HV0003,898.4608256902252
191,HV0003,1048.7864610961044
24,HV0003,1186.7962594546334
152,HV0003,1079.9817387036085
210,HV0003,961.8796806220995
86,HV0003,1301.725515268174
146,HV0003,1213.9633370602467
240,HV0003,962.9788797240067
9,HV0003,1007.7601662188687
34,HV0003,1173.340285801072
5,HV0003,1038.0504390565527
18,HV0003,963.3674555953883
27,HV0003,1584.0254087107023
21,HV0003,1024.2963926121663
199,HV0003,2013.553333333333
90,HV0003,1158.4591861466827
204,HV0003,1082.6517028274768
80,HV0003,1112.9109165080902
19,HV0003,1056.7292824976266
263,HV0003,1171.1329970140332
145,HV0003,1195.012344604356
133,HV0003,1135.9776842572614
32,HV0003,987.0992943475858
69,HV0003,1004.960418673262
83,HV0003,984.5113262251756
50,HV0003,1181.5360902261555
65,HV0003,1221.4387953561672
7,HV0003,1064.9969716528697
184,HV0003,972.1926687347463
109,HV0003,1103.2824170440533
37,HV0003,1183.1970939127814
219,HV0003,1041.2702521127105
244,HV0003,1070.3203238235762
102,HV0003,1016.4813740496062
93,HV0003,1284.574207060243
148,HV0003,1106.125539929563
59,HV0003,1011.1612674125166
55,HV0003,1227.9007969679865
260,HV0003,981.0197936624818
200,HV0003,1144.5604213037082
42,HV0003,1040.9752457126715
57,HV0003,973.6896442468505
2,HV0003,1506.946651481777
62,HV0003,1161.2121632771614
131,HV0003,1038.6082210746215
74,HV0003,1040.7301027573087
10,HV0003,1002.6539513643768
192,HV0003,973.5385265086478
181,HV0003,1223.2041616558638
193,HV0003,1191.912254039801
137,HV0003,1096.8341655229312
63,HV0003,1079.7755493953593
43,HV0003,1194.0665596767396
201,HV0003,1356.8442739343827
91,HV0003,1083.2942506619918
106,HV0003,1156.3449320148804
161,HV0003,1300.6468927720557
39,HV0003,1039.960530710421
233,HV0003,1135.9185358357438
205,HV0003,1051.2714455500452
154,HV0003,1311.7736108684949
231,HV0003,1187.096987738301
226,HV0003,1106.3221736788553
110,HV0003,1367.608364459796
75,HV0003,1156.5351735970908
92,HV0003,1085.401248891533
122,HV0003,1071.5761317316706
8,HV0003,1102.124096082956
221,HV0003,951.5928529900398
6,HV0003,1024.4163297816867
142,HV0003,1205.4113631315279
85,HV0003,1154.8881523146365
47,HV0003,935.4593403538364
117,HV0003,1416.1377322809503
223,HV0003,1068.2208579843373
124,HV0003,1045.6921375819275
113,HV0003,1144.1592854614953
195,HV0003,1309.7939066561573
147,HV0003,1042.2301923341058
202,HV0003,1503.9953132865944
58,HV0003,1054.5493297861326
17,HV0003,1122.0131443608589
87,HV0003,1310.7059877914091
203,HV0003,1051.015330568892
67,HV0003,1058.804160586736
255,HV0003,1247.9000559051806
158,HV0003,1136.0577313342205
28,HV0003,1034.441179518846
129,HV0003,1003.1423291140659
218,HV0003,1022.5083183455012
247,HV0003,970.3636057637119
228,HV0003,1201.0793246953453
12,HV0003,1370.2790718917852
87,HV0004,1330.837746270593
92,HV0004,1659.2247274980093
232,HV0004,1205.6250438852499
177,HV0004,1518.0749654152849
159,HV0004,1380.2227629863837
183,HV0004,1548.9666834447323
116,HV0004,1369.5752238528119
33,HV0004,1386.199232456088
166,HV0004,1054.9585837947784
168,HV0004,1268.7880013652123
247,HV0004,1221.5524425946965
162,HV0004,1105.4573896173908
24,HV0004,1086.1406208992767
38,HV0004,1965.8932292258037
260,HV0004,1356.1152769378882
123,HV0004,1958.4568587744939
133,HV0004,1620.3723539462123
187,HV0004,2025.87438157081
256,HV0004,1385.7460410721842
202,HV0004,1749.7841873710427
246,HV0004,1190.1153570150998
100,HV0004,1257.063664981758
152,HV0004,1170.1501551614092
35,HV0004,1483.6260359392227
117,HV0004,2414.2260935350023
31,HV0004,1804.404812074208
61,HV0004,1480.5926268424546
155,HV0004,1706.8792377499126
5,HV0004,1788.7083333333333
111,HV0004,1253.4384147598435
198,HV0004,1572.7790146923614
220,HV0004,1483.101369766955
218,HV0004,1536.957652276357
28,HV0004,1571.9980925988805
209,HV0004,1246.7939930481016
248,HV0004,1363.0413918414642
89,HV0004,1599.0698699932896
101,HV0004,2130.310069844738
196,HV0004,1538.3686580573149
244,HV0004,1382.6255452106752
224,HV0004,1082.539044859368
242,HV0004,1579.364509018982
37,HV0004,1543.6906969545037
265,HV0004,2253.877220593458
40,HV0004,1476.2774333832192
47,HV0004,1339.3913339904223
250,HV0004,1593.8159439503256
76,HV0004,1546.6727709904585
142,HV0004,1082.7246313096678
14,HV0004,1789.1091487627857
233,HV0004,1084.085529208608
206,HV0004,2215.752739657642
170,HV0004,1107.2270488316224
178,HV0004,1831.007289856025
257,HV0004,1609.3286952047954
261,HV0004,1390.4038240592035
82,HV0004,1536.6933009966124
20,HV0004,1570.4126303070109
258,HV0004,1757.4692222910123
107,HV0004,1146.026812694459
127,HV0004,1501.008901079212
54,HV0004,1392.2127768952914
169,HV0004,1344.4029893448003
124,HV0004,1718.5948812538404
147,HV0004,1435.3919617927913
195,HV0004,1573.43505267684
10,HV0004,1446.3526063008592
137,HV0004,1132.6928809644141
66,HV0004,1272.2930472006626
167,HV0004,1469.9784768892364
42,HV0004,1308.5971620210553
185,HV0004,1685.6842680390498
234,HV0004,1175.1377049044422
141,HV0004,1123.1270368262367
102,HV0004,1617.3046856164053
67,HV0004,1785.6200833517098
60,HV0004,1482.8829835815934
144,HV0004,1188.1925657074971
71,HV0004,1563.2941707210175
25,HV0004,1416.8108430151817
180,HV0004,1526.1831935298271
112,HV0004,1222.6638273711574
160,HV0004,1571.3984133139495
97,HV0004,1347.2253632592017
191,HV0004,1767.2776451646678
129,HV0004,1474.3185736324942
197,HV0004,1578.7314223356238
205,HV0004,1746.4458502718246
93,HV0004,1625.8116792400142
106,HV0004,1508.3878125590793
3,HV0004,1665.1878113794892
81,HV0004,1735.1318698642274
9,HV0004,1737.1213430578919
72,HV0004,1531.1133729664916
148,HV0004,1165.4374164950107
179,HV0004,1479.1130395983937
252,HV0004,1601.393277005047
83,HV0004,1492.851856908628
59,HV0004,1376.8230724830723
120,HV0004,1398.7758661065964
208,HV0004,1691.2615421677765
121,HV0004,1615.8567613649784
181,HV0004,1569.22956088868
253,HV0004,1545.797333333333
17,HV0004,1430.6237276828015
150,HV0004,2055.859487383713
115,HV0004,1866.9725420292827
109,HV0004,2775.4594516594516
46,HV0004,1949.1696044340276
176,HV0004,2402.3161375661375
204,HV0004,3311.5
2,HV0004,3504.0
264,HV0004,1786.3508771929824
218,HV0005,1035.8913755035953
46,HV0005,1443.3521089610695
43,HV0005,1206.9005718597275
96,HV0005,1155.9100103596122
136,HV0005,1038.4825299116565
44,HV0005,1218.3933208792957
70,HV0005,1105.8822935053038
251,HV0005,942.9286451789154
117,HV0005,1526.4642535995322
261,HV0005,1392.4553668401384
20,HV0005,1043.9133628820744
124,HV0005,1079.637690943752
216,HV0005,1013.0868948115735
80,HV0005,1105.9460906882114
189,HV0005,1162.4251527993574
172,HV0005,1181.3733040023626
112,HV0005,1142.4879741907016
93,HV0005,1287.3790203202873
100,HV0005,1397.8291219720124
107,HV0005,1153.3421624496498
121,HV0005,1142.1082164009279
36,HV0005,1140.0362809326232
233,HV0005,1168.873651086739
19,HV0005,1093.6147524777389
213,HV0005,1026.7728867692626
120,HV0005,1052.9545941203282
31,HV0005,1274.3914435879517
151,HV0005,1173.6277245120043
215,HV0005,1013.2536782104847
134,HV0005,1048.2959685605742
90,HV0005,1193.4326295914116
255,HV0005,1226.7930072310205
243,HV0005,1152.748029908179
79,HV0005,1119.692008841429
48,HV0005,1270.3667334449535
208,HV0005,1087.9500044023564
175,HV0005,1119.5427877864897
10,HV0005,1022.3200048883751
154,HV0005,1401.3092310043596
87,HV0005,1315.7927005823474
138,HV0005,1889.4993187706332
254,HV0005,1030.7769449675088
214,HV0005,1193.1492754612395
177,HV0005,1082.1465665922315
241,HV0005,1056.26568385276
54,HV0005,1141.6157791549424
58,HV0005,1127.2070397867633
2,HV0005,1854.742575665329
82,HV0005,1058.527155485095
140,HV0005,1320.0020277039152
35,HV0005,1046.519877780569
220,HV0005,1054.0933563150659
18,HV0005,1033.0884920793078
164,HV0005,1236.9662552090367
153,HV0005,982.2235047916203
180,HV0005,1047.9235553928481
94,HV0005,1046.669000286126
145,HV0005,1183.9711967028418
131,HV0005,1090.9469384442668
262,HV0005,1182.4850060339081
156,HV0005,971.1487554021463
42,HV0005,1056.6610702476896
26,HV0005,1099.9837475590298
207,HV0005,739.0376759731843
223,HV0005,1091.3063310616783
64,HV0005,1134.9224285098355
110,HV0005,1535.6459072517894
263,HV0005,1211.6895617050636
229,HV0005,1186.949429519188
185,HV0005,1073.2078191532266
65,HV0005,1192.214543398281
190,HV0005,1175.8429448291708
203,HV0005,1005.2560549596559
128,HV0005,1160.390905842567
245,HV0005,1023.5937300890791
51,HV0005,1059.972171947809
181,HV0005,1199.8079249430482
202,HV0005,1467.272653695055
186,HV0005,1332.3232884308304
259,HV0005,1010.2706465104318
235,HV0005,1026.1564695411478
23,HV0005,1042.5290112548626
86,HV0005,1357.6633936249211
116,HV0005,1095.1224960932616
221,HV0005,1025.7324045999628
192,HV0005,1078.572386649382
30,HV0005,1319.1295230622422
209,HV0005,1245.272438749901
238,HV0005,1196.4381525905153
240,HV0005,961.6814929487255
141,HV0005,1237.1756322637002
253,HV0005,1307.681396140149
14,HV0005,1198.5961798630842
169,HV0005,1025.3490965071096
184,HV0005,1049.957212938906
194,HV0005,1329.9343201570596
195,HV0005,1269.0174456215825
8,HV0005,1140.3406702396849
33,HV0005,1222.1635204297827
130,HV0005,1059.7848502034387
139,HV0005,1009.7796548346654
63,HV0005,1108.1333881599705
183,HV0005,1008.8161579137558
146,HV0005,1215.9444478816358
97,HV0005,1132.0886895844244
197,HV0005,1039.810557069955
7,HV0005,1087.8192089356903
256,HV0005,1156.3971485708717
6,HV0005,1097.5684600572822
250,HV0005,1033.1742560864113
89,HV0003,1164.101962265878
61,HV0003,1126.3278007747622
209,HV0003,1246.142471110267
179,HV0003,1113.4634529246985
45,HV0003,1167.7579673577643
186,HV0003,1289.8659641580716
94,HV0003,971.876720342498
157,HV0003,994.0684615311764
156,HV0003,931.133299631306
150,HV0003,1006.8927154264345
162,HV0003,1263.430154637419
136,HV0003,962.6900035726503
198,HV0003,1134.2290216377662
84,HV0003,1068.5131716047078
215,HV0003,971.4611064779183
159,HV0003,1032.5086967824298
33,HV0003,1247.3924214871856
171,HV0003,978.1611758314101
72,HV0003,1029.6749715357705
81,HV0003,967.4381113761817
213,HV0003,969.3489704470874
250,HV0003,975.9314063433432
246,HV0003,1190.243451075848
166,HV0003,1197.0445317229626
220,HV0003,989.9189683747857
144,HV0003,1134.7287369497553
51,HV0003,1039.3398336935304
177,HV0003,1093.5520719387773
238,HV0003,1176.3903876366435
207,HV0003,976.8644839228139
174,HV0003,986.5564363738367
217,HV0003,987.22657181565
29,HV0003,982.8289582027027
123,HV0003,961.2555929053686
229,HV0003,1137.3402345490642
163,HV0003,1288.0738895104496
48,HV0003,1255.356887113968
16,HV0003,1006.7346987518159
82,HV0003,1014.8055095619603
64,HV0003,1087.7019317490049
36,HV0003,1147.638185436652
