,Shape_Area,zone,LocationId,borough
119,9.31E-05,Highbridge Park,120,Manhattan
120,0.000384563,Hillcrest/Pomonok,121,Queens
121,0.000226597,Hollis,122,Queens
122,0.000296445,Homecrest,123,Brooklyn
123,0.000754838,Howard Beach,124,Queens
124,7.64E-05,Hudson Sq,125,Manhattan
125,0.000703274,Hunts Point,126,Bronx
126,0.000163196,Inwood,127,Manhattan
127,0.000207406,Inwood Hill Park,128,Manhattan
128,0.000473988,Jackson Heights,129,Queens
129,0.000468323,Jamaica,130,Queens
130,0.000423696,Jamaica Estates,131,Queens
131,0.002038301,JFK Airport,132,Queens
132,0.000157189,Kensington,133,Brooklyn
133,0.000202375,Kew Gardens,134,Queens
134,0.000467912,Kew Gardens Hills,135,Queens
135,0.000148525,Kingsbridge Heights,136,Bronx
136,0.000116455,Kips Bay,137,Manhattan
137,0.000536797,LaGuardia Airport,138,Queens
138,0.00044667,Laurelton,139,Queens
139,0.000114204,Lenox Hill East,140,Manhattan
140,7.67E-05,Lenox Hill West,141,Manhattan
141,7.57E-05,Lincoln Square East,142,Manhattan
142,0.000151094,Lincoln Square West,143,Manhattan
143,4.75E-05,Little Italy/NoLiTa,144,Manhattan
144,0.000346642,Long Island City/Hunters Point,145,Queens
145,0.000104639,Long Island City/Queens Plaza,146,Queens
146,0.000106418,Longwood,147,Bronx
147,6.97E-05,Lower East Side,148,Manhattan
148,0.00027064,Madison,149,Brooklyn
149,0.000332568,Manhattan Beach,150,Brooklyn
150,0.000128849,Manhattan Valley,151,Manhattan
151,0.000146638,Manhattanville,152,Manhattan
152,3.25E-05,Marble Hill,153,Manhattan
153,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn
154,0.000868261,Marine Park/Mill Basin,155,Brooklyn
155,0.001052122,Mariners Harbor,156,Staten Island
156,0.00035437,Maspeth,157,Queens
157,0.000185568,Meatpacking/West Village West,158,Manhattan
158,0.000171249,Melrose South,159,Bronx
159,0.000571235,Middle Village,160,Queens
160,7.19E-05,Midtown Center,161,Manhattan
161,4.79E-05,Midtown East,162,Manhattan
162,4.09E-05,Midtown North,163,Manhattan
163,5.56E-05,Midtown South,164,Manhattan
164,0.000353959,Midwood,165,Brooklyn
165,0.000255276,Morningside Heights,166,Manhattan
166,0.000167529,Morrisania/Melrose,167,Bronx
167,0.000547058,Mott Haven/Port Morris,168,Bronx
168,0.000146028,Mount Hope,169,Bronx
169,7.43E-05,Murray Hill,170,Manhattan
170,0.0005201,Murray Hill-Queens,171,Queens
171,0.000658403,New Dorp/Midland Beach,172,Staten Island
172,0.00017833,North Corona,173,Queens
173,0.000155929,Norwood,174,Bronx
174,0.000504921,Oakland Gardens,175,Queens
175,0.000657782,Oakwood,176,Staten Island
176,0.000198895,Ocean Hill,177,Brooklyn
177,0.000175805,Ocean Parkway South,178,Brooklyn
178,0.000183893,Old Astoria,179,Queens
179,0.000247682,Ozone Park,180,Queens
180,0.00030689,Park Slope,181,Brooklyn
181,9.11E-05,Parkchester,182,Bronx
182,9.52E-05,Pelham Bay,183,Bronx
183,0.001988834,Pelham Bay Park,184,Bronx
184,0.000228537,Pelham Parkway,185,Bronx
185,3.71E-05,Penn Station/Madison Sq West,186,Manhattan
186,0.000421196,Port Richmond,187,Staten Island
187,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn
188,0.000101428,Prospect Heights,189,Brooklyn
189,0.000270874,Prospect Park,190,Brooklyn
190,0.000688461,Queens Village,191,Queens
191,0.000373808,Queensboro Hill,192,Queens
192,0.000145592,Queensbridge/Ravenswood,193,Queens
193,0.000273482,Randalls Island,194,Manhattan
194,0.000801652,Red Hook,195,Brooklyn
195,0.000197471,Rego Park,196,Queens
196,0.000504689,Richmond Hill,197,Queens
197,0.00049981,Ridgewood,198,Queens
198,0.000288748,Rikers Island,199,Bronx
199,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx
200,0.000619351,Rockaway Park,201,Queens
201,0.000106175,Roosevelt Island,202,Manhattan
202,0.00061513,Rosedale,203,Queens
203,0.000641384,Rossville/Woodrow,204,Staten Island
204,0.000766217,Saint Albans,205,Queens
205,0.000944393,Saint George/New Brighton,206,Staten Island
206,4.47E-05,Saint Michaels Cemetery/Woodside,207,Queens
207,0.002020326,Schuylerville/Edgewater Park,208,Bronx
208,3.89E-05,Seaport,209,Manhattan
209,0.000453155,Sheepshead Bay,210,Brooklyn
210,3.97E-05,SoHo,211,Manhattan
211,0.000161276,Soundview/Bruckner,212,Bronx
212,0.000904078,Soundview/Castle Hill,213,Bronx
213,0.000811977,South Beach/Dongan Hills,214,Staten Island
214,0.000395647,South Jamaica,215,Queens
215,0.000816077,South Ozone Park,216,Queens
216,0.000114733,South Williamsburg,217,Brooklyn
217,0.000281294,Springfield Gardens North,218,Queens
218,0.000428176,Springfield Gardens South,219,Queens
219,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx
220,0.000890112,Stapleton,221,Staten Island
221,0.000130268,Starrett City,222,Brooklyn
222,0.000764361,Steinway,223,Queens
223,9.85E-05,Stuy Town/Peter Cooper Village,224,Manhattan
224,0.000310835,Stuyvesant Heights,225,Brooklyn
225,0.000761944,Sunnyside,226,Queens
226,0.000268317,Sunset Park East,227,Brooklyn
227,0.000993415,Sunset Park West,228,Brooklyn
228,9.47E-05,Sutton Place/Turtle Bay North,229,Manhattan
229,5.61E-05,Times Sq/Theatre District,230,Manhattan
230,0.00016693,TriBeCa/Civic Center,231,Manhattan
231,0.00021605,Two Bridges/Seward Park,232,Manhattan
232,0.000116188,UN/Turtle Bay South,233,Manhattan
233,7.31E-05,Union Sq,234,Manhattan
234,0.000212845,University Heights/Morris Heights,235,Bronx
235,0.000102864,Upper East Side North,236,Manhattan
236,9.60E-05,Upper East Side South,237,Manhattan
237,0.000184764,Upper West Side North,238,Manhattan
238,0.000204715,Upper West Side South,239,Manhattan
239,0.000722131,Van Cortlandt Park,240,Bronx
240,0.000254677,Van Cortlandt Village,241,Bronx
241,0.000360072,Van Nest/Morris Park,242,Bronx
242,0.000438377,Washington Heights North,243,Manhattan
243,0.000359703,Washington Heights South,244,Manhattan
244,0.000466175,West Brighton,245,Staten Island
245,0.000281298,West Chelsea/Hudson Yards,246,Manhattan
246,0.000205617,West Concourse,247,Bronx
247,0.000149593,West Farms/Bronx River,248,Bronx
248,7.22E-05,West Village,249,Manhattan
249,0.000240976,Westchester Village/Unionport,250,Bronx
250,0.000625755,Westerleigh,251,Staten Island
251,0.001025264,Whitestone,252,Queens
252,7.83E-05,Willets Point,253,Queens
253,0.00036004,Williamsbridge/Olinville,254,Bronx
254,0.000172309,Williamsburg (North Side),255,Brooklyn
255,0.000168611,Williamsburg (South Side),256,Brooklyn
256,0.000138909,Windsor Terrace,257,Brooklyn
257,0.00036621,Woodhaven,258,Queens
258,0.000394552,Woodlawn/Wakefield,259,Bronx
259,0.000422345,Woodside,260,Queens
260,3.43E-05,World Trade Center,261,Manhattan
261,0.00012233,Yorkville East,262,Manhattan
262,6.58E-05,Yorkville West,263,Manhattan
