drop_zone,vendor_id,drop_count
143,HV0003,134.07781306715066
107,HV0003,234.44305807622504
119,HV0003,223.67059891107078
68,HV0003,235.74637023593468
149,HV0003,122.6043557168784
115,HV0003,46.68216878402904
111,HV0003,3.071687840290381
138,HV0003,323.7477313974592
120,HV0003,8.63997277676951
253,HV0003,3.3427858439201454
25,HV0003,151.66515426497278
164,HV0003,200.12477313974594
165,HV0003,149.7402450090744
13,HV0003,107.49886569872959
239,HV0003,176.9309210526316
173,HV0003,109.1855716878403
88,HV0003,87.7858439201452
98,HV0003,69.36025408348458
22,HV0003,218.10117967332124
71,HV0003,262.1245462794918
188,HV0003,402.68489110707804
141,HV0003,214.44759528130672
225,HV0003,434.2861842105263
185,HV0003,127.33666061705989
197,HV0003,159.6937386569873
44,HV0003,22.634981851179674
256,HV0003,278.0285843920145
26,HV0003,256.39405626134305
118,HV0003,79.93647912885663
182,HV0003,100.98117059891108
135,HV0003,124.66651542649728
245,HV0003,35.96529038112523
108,HV0003,105.6839836660617
187,HV0003,32.747277676951
126,HV0003,168.59460072595283
73,HV0003,70.14519056261344
183,HV0003,47.47731397459166
114,HV0003,138.5015880217786
190,HV0003,36.10594373865699
178,HV0003,55.451451905626136
128,HV0003,9.675589836660617
242,HV0003,168.78402903811252
206,HV0003,106.6719600725953
56,HV0003,166.81941923774954
258,HV0003,133.05467332123413
224,HV0003,80.87000907441016
265,HV0003,126.65607985480945
251,HV0003,36.37704174228675
191,HV0003,127.88112522686026
24,HV0003,70.98797640653358
152,HV0003,132.2856170598911
210,HV0003,192.8879310344828
86,HV0003,44.09029038112523
146,HV0003,108.81238656987297
240,HV0003,32.041742286751365
9,HV0003,59.135662431941924
5,HV0003,16.481397459165155
34,HV0003,37.10412885662432
18,HV0003,211.67649727767696
27,HV0003,5.179219600725952
21,HV0003,163.7443284936479
90,HV0003,117.76769509981852
204,HV0003,14.291061705989112
80,HV0003,296.5040834845735
19,HV0003,37.90834845735028
145,HV0003,262.5056715063521
133,HV0003,108.2872050816697
263,HV0003,224.36819419237753
32,HV0003,119.92173321234121
83,HV0003,105.86660617059891
69,HV0003,313.1408802177859
65,HV0003,179.39768602540838
50,HV0003,208.67059891107078
7,HV0003,482.2493194192378
109,HV0003,32.811932849364794
184,HV0003,16.10594373865699
37,HV0003,503.4233212341198
219,HV0003,95.48094373865699
102,HV0003,122.46597096188749
244,HV0003,390.32214156079857
93,HV0003,40.653357531760435
148,HV0003,313.2713248638839
59,HV0003,10.091878402903813
55,HV0003,177.84936479128856
260,HV0003,192.00431034482762
200,HV0003,82.7858439201452
42,HV0003,450.4684664246824
57,HV0003,13.062613430127044
2,HV0003,0.15479876160990713
62,HV0003,210.3176043557169
131,HV0003,96.33393829401089
74,HV0003,424.4385208711434
192,HV0003,82.1880671506352
10,HV0003,153.60594373865698
181,HV0003,261.3191923774955
193,HV0003,73.00249546279493
137,HV0003,278.8963248638839
63,HV0003,149.03470961887479
201,HV0003,34.7720054446461
43,HV0003,52.04627949183303
91,HV0003,293.3824863883848
106,HV0003,55.60231397459166
39,HV0003,460.9584845735027
161,HV0003,229.27291288566244
233,HV0003,179.73684210526318
205,HV0003,198.3960980036298
154,HV0003,7.06896551724138
231,HV0003,200.83824863883848
226,HV0003,320.0260889292196
110,HV0003,0.1471606648199446
92,HV0003,287.7730263157895
75,HV0003,384.7788112522686
122,HV0003,62.81760435571688
8,HV0003,2.456896551724138
221,HV0003,67.93897459165154
6,HV0003,29.17876588021779
142,HV0003,174.0744101633394
47,HV0003,179.63362068965517
85,HV0003,174.39882032667876
117,HV0003,87.28561705989111
223,HV0003,260.53312159709617
124,HV0003,80.36751361161524
202,HV0003,41.94078947368421
113,HV0003,125.72822141560799
147,HV0003,119.40562613430127
195,HV0003,82.13135208711434
58,HV0003,17.454627949183305
17,HV0003,432.3162431941924
203,HV0003,83.49705081669691
87,HV0003,165.49115245009077
67,HV0003,101.3543557168784
28,HV0003,95.95167876588022
158,HV0003,102.16651542649728
255,HV0003,277.67354809437387
129,HV0003,336.0685117967332
218,HV0003,101.0220054446461
247,HV0003,260.7293557168784
228,HV0003,191.18647912885663
12,HV0003,5.846188747731397
61,HV0003,769.4918330308531
89,HV0003,441.1569872958258
209,HV0003,56.72300362976407
179,HV0003,190.17695099818513
45,HV0003,104.7969600725953
157,HV0003,128.47436479128856
186,HV0003,200.40040834845735
94,HV0003,91.07236842105263
156,HV0003,67.73820326678765
150,HV0003,102.96733212341198
162,HV0003,217.94691470054448
136,HV0003,129.34891107078042
198,HV0003,304.10390199637027
84,HV0003,25.178085299455535
171,HV0003,135.12704174228676
33,HV0003,130.23026315789474
215,HV0003,145.04877495462796
159,HV0003,245.61622807017545
72,HV0003,311.83870235934666
81,HV0003,154.06079854809437
213,HV0003,275.8847549909256
250,HV0003,109.45099818511797
166,HV0003,222.90241228070178
246,HV0003,258.5151996370236
220,HV0003,136.16995614035088
144,HV0003,148.6252268602541
51,HV0003,221.29650635208714
177,HV0003,241.90902903811252
238,HV0003,199.50771324863885
207,HV0003,4.435117967332123
217,HV0003,61.9725499092559
174,HV0003,167.02019056261344
29,HV0003,134.17876588021778
123,HV0003,177.01111615245011
229,HV0003,159.57463702359345
163,HV0003,130.17581669691472
48,HV0003,282.4375
16,HV0003,117.73820326678766
82,HV0003,341.2556715063521
64,HV0003,35.027223230490016
36,HV0003,330.86320326678765
211,HV0003,91.58688747731398
248,HV0003,139.44305807622504
261,HV0003,87.95485480943739
176,HV0003,17.11660617059891
78,HV0003,210.17808529945555
31,HV0003,20.71687840290381
214,HV0003,41.488203266787664
249,HV0003,143.18171506352087
30,HV0003,2.3026315789473686
79,HV0003,439.11070780399274
23,HV0003,121.43035390199638
125,HV0003,60.73389292196008
76,HV0003,567.4739110707804
175,HV0003,72.28107985480945
180,HV0003,71.84097096188749
11,HV0003,72.2912885662432
153,HV0003,35.45712341197822
112,HV0003,263.73298548094374
234,HV0003,225.69759528130672
243,HV0003,268.7386569872958
97,HV0003,274.76179673321235
