month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,10.222000000000003,8.12,0.978,40.0,3769.6,13.561374080730147
4-2019,10.113999999999999,8.0,0.764,5.0,5579.6,9.078529565281181
5-2019,11.790000000000001,9.8,0.64,5.0,605.2,10.531536941544674
2-2019,16.897165593444846,14.305857379920468,0.9028302224650289,737580.0,1362.6672085865641,12.34914557310675
3-2019,13.292500000000002,10.607142857142858,1.215714285714286,42.0,631.3571428571429,13.22801979350307
