month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2018,8.245000000000001,6.625,0.8200000000000001,4,441.25,9.24195739856928
1-2018,14.003990091144889,11.730045721591809,1.0358165894195122,1066354,1226.6339498162058,12.012525201814718
12-2017,11.9646511627907,10.034883720930232,0.4665116279069767,52,6383.395348837209,11.592595757278598
2-2018,11.594880952380944,9.75,0.8383333333333335,89,1883.1666666666667,11.226469329782928
4-2018,12.3,11.5,0.0,1,832.0,9.995192307692308
