month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
3-2018,11.962972972972967,9.952702702702704,0.9162162162162164,75,1373.445945945946,11.742904376077568
11-2018,20.585714285714285,18.071428571428573,1.1428571428571428,42,1030.7142857142858,15.493315028578378
12-2018,25.049999999999997,23.75,0.0,12,1374.5,17.997748882799506
1-2018,19.55857142857143,15.821428571428571,2.508571428571429,14,6936.928571428572,14.196150709704208
2-2018,14.170857173721505,11.89054510578338,1.0411266019460652,1031593,1179.6278406138213,12.096887577438919
4-2018,9.47,7.1875,1.045,8,3653.5,7.696712942757045
