month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,6.966666666666666,6.166666666666667,0.0,3.0,8814.0,5.570992050395844
8-2019,9.497333333333334,8.166666666666666,0.21733333333333332,22.0,423.53333333333336,11.995244131006915
10-2019,10.8,10.0,0.0,4.0,6032.0,6.827233737609069
7-2019,15.609472558926043,12.788409624301615,1.0870110647638849,552462.0,1268.807340560982,11.941887587060034
9-2019,10.8,10.0,0.0,1.0,707.0,11.813295615275813
6-2019,15.614000000000004,12.766666666666667,1.1806666666666665,19.0,11736.933333333332,14.30243267526279
