month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2019,9.649999999999999,7.416666666666667,1.0166666666666666,6.0,8902.0,7.034627992408321
4-2019,10.8,9.0,0.0,1.0,431.0,21.048723897911835
9-2018,10.9125,8.5625,1.05,8.0,10931.875,9.21563494974493
11-2018,13.366818181818179,11.318181818181818,0.7268181818181819,56.0,1850.340909090909,11.939319217765897
2-2019,17.48,14.75,0.93,2.0,921.5,13.423450433422408
10-2018,16.802923672908445,14.442020575385175,1.0088105667727125,934914.0,1429.0887758031413,11.981462658540655
12-2018,13.959090909090907,11.955454545454545,1.0036363636363637,11.0,3155.6363636363635,9.37018561978833
3-2019,11.04,8.5,0.74,4.0,542.5,9.780014462910849
