month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
11-2019,6.36,4.5,1.06,1.0,208.0,9.173076923076923
8-2019,15.488784754079775,12.603238975574007,1.1349765404580516,503626.0,1209.710486389309,12.045348999759497
10-2019,9.36,7.0,1.56,1.0,418.0,9.21531100478469
7-2019,11.55,9.25,1.0,2.0,529.0,13.669766521567077
12-2019,8.966666666666667,8.166666666666666,0.0,3.0,601.6666666666666,8.086607730507678
9-2019,14.272500000000003,11.166666666666666,1.66,18.0,2815.4166666666665,11.790742748111546
