RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,16.15,1364.96,1.07
4.0,75.89,2763.34,5.26
3.0,83.3,2557.32,8.94
2.0,62.0,3175.71,6.35
99.0,10.3,586.0,0.0
6.0,3.3,862.0,0.0
5.0,27.36,2059.62,0.38
