RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
6,4.05,319.25,0.0
5,19.7,1827.98,0.75
1,14.16,1290.25,1.09
3,85.76,2625.6,9.27
2,62.95,3028.54,6.47
4,68.98,3269.06,3.69
