RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,14.8,1199.03,1.22
4.0,68.22,2538.87,4.24
3.0,88.87,4006.31,9.79
2.0,64.13,2843.25,6.89
6.0,4.3,7.0,0.0
5.0,21.01,1642.07,1.18
