RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
5,50.52,1590.23,4.6
1,23.12,1211.88,2.36
3,121.83,2616.49,12.19
2,84.58,3693.89,8.64
4,139.65,3981.61,8.75
99,17.0,1255.5,0.0
