RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,18.23,970.35,2.31
4.0,84.89,2348.85,8.24
3.0,93.41,2700.16,10.97
2.0,69.67,2946.54,8.52
99.0,33.92,2321.03,0.0
6.0,3.6,348.63,0.0
5.0,83.93,1817.62,8.94
