RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,18.82,991.69,2.47
4.0,88.28,2654.62,9.04
3.0,93.16,2653.9,11.38
2.0,70.11,3018.82,9.05
99.0,34.37,2283.05,0.0
6.0,22.01,1192.11,13.08
5.0,82.73,1696.73,9.56
