RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,15.95,825.37,1.95
4.0,77.71,2178.29,6.48
3.0,89.91,2603.76,10.29
2.0,67.03,2404.55,8.23
99.0,12.98,1401.45,0.0
6.0,3.8,387.67,0.0
5.0,61.12,1684.63,5.5
