RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,18.91,980.82,2.47
4.0,88.36,2422.13,8.86
3.0,94.02,2587.59,11.49
2.0,70.0,3051.79,8.96
99.0,34.99,2285.05,0.0
6.0,5.67,166.5,0.33
5.0,83.48,1693.62,9.55
