RatecodeID,avg_total_amount,avg_time_diff,avg_tip_amount
1.0,17.52,1011.15,1.96
4.0,88.35,3007.23,8.42
3.0,93.95,3024.46,10.6
2.0,68.22,3049.68,7.88
99.0,16.63,654.75,0.0
6.0,3.83,530.92,0.17
5.0,87.61,2122.35,8.57
